conn prev LSN,conn last LSN,page nr,nr in page,transaction num,this LSN,previous LSN,undo next LSN,data length,sequence nr,client index,record type,derived record type,transaction id,flag,is split?,redo operation,undo operation,deriv redo,deriv undo,redo offset,redo length,undo offset,undo length,target attribute,lcn to follow?,record offset,attribute offset,MFT cluster index,target VCN,target LCN,deriv inum,em_MFT seq value,em_USN usn,em_ATTR filename
1069343,1070032,24,0,,1069359,1069343,1069343,2600,0,0,1,transaction,24,5,True,8,0,Update Nonresident Value,No-Operation,40,2560,2600,0,464,1,0,0,0,0,353,0,,,
1069343,1070032,24,1,,1069698,1069359,1069359,88,0,0,1,transaction,24,0,False,11,11,Set New Attribute Sizes,Set New Attribute Sizes,40,24,64,24,24,1,368,0,0,1,598,4,,,
1069343,1070032,24,2,,1069715,1069698,1069698,56,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,4,48,4,24,1,288,32,6,0,597,3,,,
1069343,1070032,24,3,,1069728,1069715,1069715,56,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,2,48,2,24,1,288,34,6,0,597,3,,,
1069343,1070032,24,4,,1069741,1069728,0,40,0,0,1,transaction,24,2,False,27,1,Forget Transaction,Compensation Log Record,40,0,40,0,24,0,0,0,0,0,4126471552,0,,,
1069343,1070032,24,5,,1069752,0,0,88,0,0,1,transaction,24,0,False,11,11,Set New Attribute Sizes,Set New Attribute Sizes,40,24,64,24,24,1,256,0,2,2,599,9,,,
1069343,1070032,24,6,,1069769,1069752,1069752,48,0,0,1,transaction,24,2,False,8,8,Update Nonresident Value,Update Nonresident Value,40,8,40,8,344,1,248,0,0,64,352,256,,,
1069343,1070032,24,7,,1069781,1069769,1069769,88,0,0,1,transaction,24,0,False,11,11,Set New Attribute Sizes,Set New Attribute Sizes,40,24,64,24,24,1,256,0,2,2,599,9,,,
1069343,1070032,24,8,,1069798,1069781,1069781,48,0,0,1,transaction,24,2,False,8,8,Update Nonresident Value,Update Nonresident Value,40,8,40,8,344,1,248,0,0,0,288,0,,,
1069343,1070032,24,9,,1069810,1069798,1069798,280,0,0,1,transaction,24,0,False,8,8,Update Nonresident Value,Update Nonresident Value,40,120,160,120,344,1,256,0,0,0,288,0,,,
1069343,1070032,24,10,,1069851,1069810,1069810,280,0,0,1,transaction,24,0,False,8,8,Update Nonresident Value,Update Nonresident Value,40,120,160,120,344,1,256,0,0,64,352,256,,,
1069343,1070032,24,11,,1069892,1069851,1069851,88,0,0,1,transaction,24,0,False,11,11,Set New Attribute Sizes,Set New Attribute Sizes,40,24,64,24,24,1,256,0,2,2,599,9,,,
1069343,1070032,24,12,,1069909,1069892,1069892,80,0,0,1,transaction,24,4,False,12,13,Add Index Entry Root,Delete Index Entry Root,40,40,80,0,24,1,512,144,2,2,599,9,,,
1069343,1070032,24,13,,1069925,1069909,1069909,88,0,0,1,transaction,24,4,False,12,13,Add Index Entry Root,Delete Index Entry Root,40,48,88,0,24,1,336,64,2,2,599,9,,,
1069343,1070032,24,14,,1069942,1069925,0,40,0,0,1,transaction,24,2,False,27,1,Forget Transaction,Compensation Log Record,40,0,40,0,24,0,0,0,0,0,0,0,,,
1069343,1070032,24,15,,1069953,0,0,120,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,37,80,37,24,1,56,59,6,6,47,27,,,
1069343,1070032,24,16,,1069974,1069953,0,40,0,0,1,transaction,24,2,False,27,1,Forget Transaction,Compensation Log Record,40,0,40,0,24,0,0,0,0,0,2007844203,0,,,
1069343,1070032,24,17,,1069985,0,0,48,0,0,1,transaction,24,0,False,21,22,Set Bits in Nonresident Bitmap,Clear Bits in Nonresident Bitmap,40,8,40,8,144,1,0,0,0,0,596,0,,,
1069343,1070032,24,18,,1069997,1069985,1069985,48,0,0,1,transaction,24,2,False,0,3,No-Operation,Deallocate File Record Segment,40,0,40,8,24,1,0,0,2,7,48,29,,,
1069343,1070032,24,19,,1070009,1069997,1069997,136,0,0,1,transaction,24,4,False,12,13,Add Index Entry Root,Delete Index Entry Root,40,96,136,0,24,1,264,160,6,6,47,27,,,
1069343,1070032,24,20,,1070032,1070009,1070009,304,0,0,1,transaction,24,4,False,2,0,Initialize File Record Segment,No-Operation,40,264,304,0,24,1,0,0,2,7,48,29,1,,
1070032,1070566,25,1,,1070088,1070032,1070032,120,0,0,1,transaction,24,4,False,5,6,Create Attribute,Delete Attribute,40,80,120,0,24,1,256,0,2,7,48,29,,,
1070032,1070566,25,2,,1070109,1070088,1070088,384,0,0,1,transaction,24,2,False,0,2,No-Operation,Initialize File Record Segment,40,0,40,344,24,1,0,0,2,7,48,29,,,
1070032,1070566,25,3,,1070163,1070109,1070109,384,0,0,1,transaction,24,4,False,2,0,Initialize File Record Segment,No-Operation,40,344,384,0,24,1,0,0,2,7,48,29,1,,
1070032,1070566,25,4,,1070217,1070163,1070163,120,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,37,80,37,24,1,56,59,2,7,48,29,,,
1070032,1070566,25,5,,1070238,1070217,0,40,0,0,1,transaction,24,2,False,27,1,Forget Transaction,Compensation Log Record,40,0,40,0,24,0,0,0,0,0,2007844203,0,,,
1070032,1070566,25,6,,1070249,0,0,48,0,0,1,transaction,24,0,False,21,22,Set Bits in Nonresident Bitmap,Clear Bits in Nonresident Bitmap,40,8,40,8,144,1,0,0,0,0,596,0,,,
1070032,1070566,25,7,,1070261,1070249,1070249,48,0,0,1,transaction,24,2,False,0,3,No-Operation,Deallocate File Record Segment,40,0,40,8,24,1,0,0,4,7,48,30,,,
